Медицинские организации;Поступившие вопросы;Отвеченые вопросы;Не отвеченые вопросы;Поступившие отзывы;Опубликованные отзывы;Неопбуликованные отзывы
Автономное учреждение Чувашской Республики "Республиканская стоматологическая поликлиника" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканская станция переливания крови" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканская станция скорой медицинской помощи" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Шемуршинская районная больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
БУ "Шумерлинский ММЦ" Минздрава Чувашии;0;0;0;0;0;0
БУ "Тестовая больница по указанию Н.И. Володиной" МЗ ЧР;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Медицинский информационно-аналитический центр" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
БУ "Урмарская ЦРБ" Минздрава Чувашии;0;0;0;0;0;0
БУ "Вурнарская ЦРБ" Минздрава ЧР;1;1;0;3;2;0
Бюджетное учреждение Чувашской Республики "Ядринская центральная районная больница им. К.В. Волкова" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
БУ "Яльчикская ЦРБ" Минздрава Чувашии;1;1;0;1;0;0
Бюджетное учреждение Чувашской Республики "Янтиковская центральная районная больница" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0
