Организация;Все;Анонсы;Актуально;Новости;Сми о нас;Мастер классы;Наши гости;Мероприятия;Фото;Видео;Новое в медицине
Бюджетное учреждение Чувашской Республики "Моргаушская центральная районная больница" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Новочебоксарская городская больница" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Новочебоксарский медицинский центр" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
Первая Чебоксарская городская больница им. П. Н. Осипова;20;0;2;7;0;0;0;0;7;1;0
Бюджетное учреждение Чувашской Республики "Президентский перинатальный центр" Министерства здравоохранения Чувашской Республики;3;0;0;2;0;0;0;0;0;0;0
БУ "Республиканская детская клиническая больница" Минздрава Чувашии;868;0;0;434;121;0;0;0;140;0;0
БУ "Республиканская клиническая больница" Минздрава Чувашии;13;0;1;4;1;1;1;0;1;1;0
БУ "Республиканская клиническая офтальмологическая больница" Минздрава Чувашии;789;0;2;301;68;1;0;0;245;3;0
БУ "Республиканская психиатрическая больница" Минздрава Чувашии;13;0;2;4;1;1;1;0;1;1;0
Бюджетное учреждение Чувашской Республики "Республиканская станция переливания крови" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканская станция скорой медицинской помощи" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканский детский санаторий "Лесная сказка" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
БУ "Республиканский кардиологический диспансер" Минздрава Чувашии;3;0;0;2;0;0;0;0;0;0;0
БУ "РКГДВВ" Минздрава Чувашии;3;0;0;2;0;0;0;0;0;0;0
БУ «Республиканский кожно-венерологический диспансер» Минздрава Чувашии;3;0;0;2;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканский наркологический диспансер" Министерства здравоохранения Чувашской Республики;11;0;1;7;0;0;0;0;0;1;0
БУ "Республиканский центр медицинской профилактики, лечебной физкультуры и спортивной медицины" Минздрава Чувашии;1;0;0;1;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканский центр медицины катастроф" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканский центр медицины катастроф" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканский центр по профилактике и борьбе со СПИД и инфекционными заболеваниями" Министерства здравоохранения Чувашской Республики;3;0;0;2;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканский эндокринологический диспансер" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканский эндокринологический диспансер" Министерства здравоохранения Чувашской Республики;0;0;0;0;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Республиканское бюро судебно-медицинской экспертизы" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
БУ "Урмарская ЦРБ" Минздрава Чувашии;6;0;1;2;1;0;0;0;0;0;0
БУ "Центральная городская больница" Минздрава Чувашии;3;0;0;2;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Центральная районная больница Алатырского района" Министерства здравоохранения Чувашской Республики;5;0;1;3;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Цивильская центральная районная больница" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Чебоксарская районная больница" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Шемуршинская районная больница" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
БУ "Шумерлинский ММЦ" Минздрава Чувашии;1;0;0;1;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Ядринская межрайонная психиатрическая больница" Министерства здравоохранения Чувашской Республики ;0;0;0;0;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Ядринская межрайонная психиатрическая больница" Министерства здравоохранения Чувашской Республики ;0;0;0;0;0;0;0;0;0;0;0
Бюджетное учреждение Чувашской Республики "Ядринская центральная районная больница им. К.В. Волкова" Министерства здравоохранения Чувашской Республики;4;0;0;3;0;0;0;0;0;0;0
БУ "Яльчикская ЦРБ" Минздрава Чувашии;9;0;0;4;0;1;0;1;1;0;0
Бюджетное учреждение Чувашской Республики "Янтиковская центральная районная больница" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
Государственное унитарное предприятие Чувашской Республики «Фармация» Министерство здравоохранения Чувашской Республики;4;0;1;2;0;0;0;0;0;0;0
Казенное учреждение Чувашской Республики "Дом ребенка для детей с органическим поражением центральной нервной системы с нарушением психики" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
Казенное учреждение Чувашской Республики "Республиканский детский противотуберкулезный санаторий "Чуварлейский бор" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
Казенное учреждение Чувашской Республики "Республиканский противотуберкулезный диспансер" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
Казенное учреждение Чувашской Республики "Специализированный Дом ребенка "Малютка" для детей с органическими поражениями центральной нервной системы с нарушением психики" Министерства здравоохранения Чувашской Республики;1;0;0;1;0;0;0;0;0;0;0
КУ «Центр ресурсного обеспечения государственных учреждений здравоохранения»;4;0;0;2;0;0;0;0;0;0;0
Мед. портал;43;0;4;17;0;0;0;0;2;3;7
ФГУ "Федеральный центр травматологии, ортопедии и эндопротезирования Федерального агенства по здравоохранению " г. Чебоксары;1;0;0;1;0;0;0;0;0;0;0
